2018_10_15 00:32:00,281,133
2018_10_15 00:32:07,281,146
2018_10_15 00:32:09,309,165
2018_10_15 01:06:48,290,120
2018_10_15 01:06:52,279,133
2018_10_15 01:24:27,280,120
2018_10_15 01:24:28,269,127
2018_10_15 01:26:41,295,156
2018_10_15 01:33:28,316,162
2018_10_15 01:33:33,307,149
2018_10_15 01:34:08,287,138
2018_10_15 01:34:09,274,130
2018_10_15 01:35:36,307,161
2018_10_15 01:35:48,305,148
2018_10_15 01:35:49,274,121
2018_10_15 01:36:12,257,108
2018_10_15 01:36:51,271,112
2018_10_15 01:36:54,303,127
2018_10_15 01:36:55,288,117
2018_10_15 01:36:56,301,125
2018_10_15 01:36:57,293,135
2018_10_15 01:36:59,288,151
2018_10_15 01:37:00,288,144
2018_10_15 01:37:01,292,138
2018_10_15 01:37:02,292,138
2018_10_15 01:37:03,305,134
2018_10_15 01:37:05,293,127
2018_10_15 01:37:06,298,136
2018_10_15 01:37:09,296,154
2018_10_15 01:37:10,303,137
2018_10_15 01:37:12,298,143
2018_10_15 01:37:22,285,140
2018_10_15 01:37:23,307,139
2018_10_15 01:37:27,267,142
2018_10_15 01:37:27,218,13
2018_10_15 01:37:28,286,142
2018_10_15 01:37:30,143,118
2018_10_15 01:37:31,20,87
2018_10_15 01:37:33,17,64
2018_10_15 01:37:35,20,78
2018_10_15 01:37:37,40,125
2018_10_15 01:37:38,29,73
2018_10_15 01:37:39,156,13
2018_10_15 01:37:40,9,124
2018_10_15 01:37:42,12,95
2018_10_15 01:37:43,28,89
2018_10_15 01:37:45,21,87
2018_10_15 01:37:47,11,52
2018_10_15 01:37:50,7,55
2018_10_15 01:37:52,4,44
2018_10_15 01:37:55,48,113
2018_10_15 01:38:35,307,146
2018_10_15 01:38:41,278,142
2018_10_15 01:41:04,314,179
2018_10_15 01:48:35,271,132
2018_10_15 01:48:36,256,120
2018_10_15 01:49:50,265,128
2018_10_15 01:50:19,253,119
2018_10_15 01:50:30,287,143
2018_10_15 01:50:31,291,143
2018_10_15 01:50:53,276,151
2018_10_15 01:50:55,275,130
2018_10_15 01:50:56,270,153
2018_10_15 01:50:57,304,167
2018_10_15 01:51:04,315,176
2018_10_15 01:51:25,290,119
2018_10_15 01:51:26,315,140
2018_10_15 01:51:39,298,89
2018_10_15 01:51:40,283,158
